cp,colonia,municipio
45680,"Álvarez del Castillo","El Salto"
45680,Ampelio,"El Salto"
45680,"Balcones Del Salto","El Salto"
45680,"El Pedregal","El Salto"
45680,"El Sabino","El Salto"
45680,"El Salto Centro","El Salto"
45680,"Jesús Maria","El Salto"
45680,"La Alcantarilla","El Salto"
45680,"La Azucena","El Salto"
45680,"La Mesa INFONAVIT","El Salto"
45680,"Las Lilas","El Salto"
45680,"Los Laureles","El Salto"
45680,"Mesa de los Laureles","El Salto"
45680,Obrera,"El Salto"
45680,"Palo Dulce","El Salto"
45680,"Potrero Nuevo","El Salto"
45680,"Rinconada las Lomas","El Salto"
45683,"Colinas Del Sol","El Salto"
45683,"El Muelle","El Salto"
45683,"Galaxia Bonito Jalisco","El Salto"
45683,"La Muralla","El Salto"
45685,"Cima Serena","El Salto"
45685,"El Salto","El Salto"
45685,"Parques del Castillo","El Salto"
45685,"San Jose Del Castillo","El Salto"
45686,"Hacienda Vieja del Castillo (Castillo Viejo)","El Salto"
45686,"Jardines del Castillo","El Salto"
45690,"Cárdenas Del Rio","El Salto"
45690,"Insurgentes Sur","El Salto"
45690,"La Esmeralda","El Salto"
45690,"La Piedrera","El Salto"
45690,"Las Pintas","El Salto"
45690,"Lomas Montenegro","El Salto"
45690,"Nuevo Paraíso","El Salto"
45690,Pacifico,"El Salto"
45690,"Santa Rosa Del Valle","El Salto"
45692,"Aeropuerto Toncalli","El Salto"
45692,"Baja California","El Salto"
45692,"La Huizachera","El Salto"
45692,"Los Gigantes","El Salto"
45693,"Baja California","El Salto"
45693,"Club de Golf Atlas","El Salto"
45693,"Del Carmen","El Salto"
45693,Ermita,"El Salto"
45693,"Las Pintitas Centro","El Salto"
45693,"Lomas del Aeropuerto","El Salto"
45694,"Buenos Aires","El Salto"
45694,"El Verde","El Salto"
45694,"El Zalate","El Salto"
45694,"Jardines Del Verde","El Salto"
45694,"La Guadalupana","El Salto"
45694,"La Loma","El Salto"
45694,"La Purísima","El Salto"
45694,"Loma Bonita","El Salto"
45694,"Loma de San Juan","El Salto"
45694,"Loma Verde","El Salto"
45694,"Lomas Del Verde","El Salto"
45694,"Los Maestros","El Salto"
45694,Minerales,"El Salto"
45694,"San Jose El Verde Centro","El Salto"
45694,"San Lorenzo","El Salto"
45696,"El Diamante","El Salto"
45696,"El Quince Centro","El Salto"
45696,"El Seminario","El Salto"
45696,"El Terrero","El Salto"
45696,"Felipe Angeles","El Salto"
45696,"La Esperanza","El Salto"
45696,"La Higuera","El Salto"
45696,"Prados Del Salto","El Salto"
44009,"Palacio de Gobierno Del Estado de Jalisco",Guadalajara
44100,"Guadalajara Centro",Guadalajara
44110,"Vallarta Poniente",Guadalajara
44130,Arcos,Guadalajara
44130,"Arcos Vallarta",Guadalajara
44140,"Obrera Centro",Guadalajara
44150,Barrera,Guadalajara
44150,Lafayette,Guadalajara
44158,Deitz,Guadalajara
44160,Americana,Guadalajara
44170,"San Antonio",Guadalajara
44180,Mexicaltzingo,Guadalajara
44190,Moderna,Guadalajara
44200,Artesanos,Guadalajara
